Epoch: 47   |   Top1: 47.35135%   |   Top5: 81.08108%   |   Top10: 89.83784%
Epoch: 48   |   Top1: 46.48649%   |   Top5: 84.0%   |   Top10: 92.97297%
Epoch: 49   |   Top1: 42.59459%   |   Top5: 81.40541%   |   Top10: 90.48649%
Epoch: 50   |   Top1: 46.27027%   |   Top5: 82.59459%   |   Top10: 91.45946%
Epoch: 51   |   Top1: 44.10811%   |   Top5: 82.37838%   |   Top10: 92.10811%
Epoch: 52   |   Top1: 45.2973%   |   Top5: 81.40541%   |   Top10: 90.05405%
Epoch: 53   |   Top1: 44.97297%   |   Top5: 82.16216%   |   Top10: 90.48649%
Epoch: 54   |   Top1: 43.35135%   |   Top5: 81.40541%   |   Top10: 90.48649%
Epoch: 55   |   Top1: 47.13514%   |   Top5: 82.7027%   |   Top10: 92.0%
Epoch: 56   |   Top1: 50.37838%   |   Top5: 85.72973%   |   Top10: 94.05405%
Epoch: 57   |   Top1: 48.0%   |   Top5: 84.10811%   |   Top10: 94.05405%
Epoch: 58   |   Top1: 48.10811%   |   Top5: 85.51351%   |   Top10: 92.97297%
Epoch: 59   |   Top1: 49.2973%   |   Top5: 83.13514%   |   Top10: 91.24324%
Epoch: 60   |   Top1: 46.48649%   |   Top5: 82.37838%   |   Top10: 91.89189%
Epoch: 61   |   Top1: 48.75676%   |   Top5: 85.94595%   |   Top10: 93.51351%
Epoch: 62   |   Top1: 48.75676%   |   Top5: 84.43243%   |   Top10: 92.86486%
Epoch: 63   |   Top1: 52.43243%   |   Top5: 87.56757%   |   Top10: 94.05405%
Epoch: 64   |   Top1: 48.64865%   |   Top5: 85.08108%   |   Top10: 93.2973%
Epoch: 65   |   Top1: 48.54054%   |   Top5: 82.27027%   |   Top10: 91.24324%
Epoch: 66   |   Top1: 50.05405%   |   Top5: 87.13514%   |   Top10: 93.72973%
Epoch: 67   |   Top1: 54.7027%   |   Top5: 89.18919%   |   Top10: 95.35135%
Epoch: 68   |   Top1: 48.43243%   |   Top5: 86.59459%   |   Top10: 94.81081%
Epoch: 69   |   Top1: 51.78378%   |   Top5: 88.10811%   |   Top10: 94.59459%
Epoch: 70   |   Top1: 47.24324%   |   Top5: 84.43243%   |   Top10: 91.35135%
Epoch: 71   |   Top1: 46.37838%   |   Top5: 83.24324%   |   Top10: 91.56757%
Epoch: 72   |   Top1: 54.16216%   |   Top5: 90.16216%   |   Top10: 95.56757%
Epoch: 73   |   Top1: 50.7027%   |   Top5: 87.78378%   |   Top10: 93.72973%
Epoch: 74   |   Top1: 53.62162%   |   Top5: 88.64865%   |   Top10: 94.59459%
Epoch: 75   |   Top1: 50.59459%   |   Top5: 89.2973%   |   Top10: 95.56757%
Epoch: 76   |   Top1: 56.75676%   |   Top5: 92.43243%   |   Top10: 97.83784%
Epoch: 77   |   Top1: 53.18919%   |   Top5: 88.21622%   |   Top10: 95.56757%
Epoch: 78   |   Top1: 52.64865%   |   Top5: 88.97297%   |   Top10: 94.81081%
Epoch: 79   |   Top1: 51.13514%   |   Top5: 87.89189%   |   Top10: 95.35135%
Epoch: 80   |   Top1: 55.67568%   |   Top5: 90.81081%   |   Top10: 96.54054%
Epoch: 81   |   Top1: 47.89189%   |   Top5: 82.48649%   |   Top10: 89.40541%
Epoch: 82   |   Top1: 52.97297%   |   Top5: 87.67568%   |   Top10: 94.81081%
Epoch: 83   |   Top1: 48.43243%   |   Top5: 84.54054%   |   Top10: 91.89189%
Epoch: 84   |   Top1: 53.72973%   |   Top5: 90.27027%   |   Top10: 95.89189%
Epoch: 85   |   Top1: 51.35135%   |   Top5: 87.89189%   |   Top10: 94.05405%
Epoch: 86   |   Top1: 51.89189%   |   Top5: 88.86486%   |   Top10: 96.0%
Epoch: 87   |   Top1: 53.83784%   |   Top5: 88.64865%   |   Top10: 95.78378%
Epoch: 88   |   Top1: 56.43243%   |   Top5: 90.37838%   |   Top10: 95.56757%
Epoch: 89   |   Top1: 48.54054%   |   Top5: 85.94595%   |   Top10: 93.83784%
Epoch: 90   |   Top1: 52.0%   |   Top5: 89.2973%   |   Top10: 95.24324%
Epoch: 91   |   Top1: 49.94595%   |   Top5: 87.13514%   |   Top10: 94.81081%
Epoch: 92   |   Top1: 53.08108%   |   Top5: 89.94595%   |   Top10: 96.0%
Epoch: 93   |   Top1: 45.08108%   |   Top5: 81.94595%   |   Top10: 90.91892%
Epoch: 94   |   Top1: 58.7027%   |   Top5: 92.54054%   |   Top10: 96.86486%
Epoch: 95   |   Top1: 49.40541%   |   Top5: 85.51351%   |   Top10: 94.37838%
Epoch: 96   |   Top1: 57.72973%   |   Top5: 92.0%   |   Top10: 97.08108%
Epoch: 97   |   Top1: 60.32432%   |   Top5: 93.83784%   |   Top10: 98.16216%
Epoch: 98   |   Top1: 55.02703%   |   Top5: 90.91892%   |   Top10: 96.43243%
Epoch: 99   |   Top1: 53.51351%   |   Top5: 87.89189%   |   Top10: 94.48649%
Epoch: 100   |   Top1: 56.75676%   |   Top5: 89.72973%   |   Top10: 96.32432%
Epoch: 101   |   Top1: 58.05405%   |   Top5: 93.08108%   |   Top10: 97.18919%
